wojewodztwo;powiat;miasto;kod_pocztowy;ulica;typ_ulica
pomorskie;starogardzki;Zblewo;83-210;Zblewo;Poczta
podkarpackie;M. Rzeszów;Rzeszów;35-231;Zbocze;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-003;Zbocze;ul.
³ódzkie;M. £ódŸ;£ódŸ;94-111;Zboczowa;ul.
œl¹skie;bêdziñski;Bêdzin;42-506;ZBoWiD;ul.
mazowieckie;M. Warszawa;Warszawa;03-255;Zbo¿owa;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-546;Zbo¿owa;ul.
lubelskie;M. Lublin;Lublin;20-827;Zbo¿owa;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-416;Zbo¿owa;ul.
ma³opolskie;M. Kraków;Kraków;30-002;Zbo¿owa;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-230;Zbo¿owa;ul.
œl¹skie;M. Katowice;Katowice;40-657;Zbo¿owa;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-268;Zbo¿owa;ul.
opolskie;M. Opole;Opole;45-837;Zbo¿owa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-067;Zbo¿owa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-375;Zbo¿owa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-653;Zbo¿owa;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-818;Zbo¿owa;ul.
pomorskie;M. Gdynia;Gdynia;81-020;Zbo¿owa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-844;Zbo¿owa;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-806;Zbo¿owa ;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-807;Zbo¿owa ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-116;Zbo¿owy Rynek;ul.
podlaskie;³om¿yñski;Zbójna;18-416;Zbójna;Poczta
zachodniopomorskie;M. Szczecin;Szczecin;71-020;Zbójnicka;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-104;Zbójnicka;ul.
kujawsko-pomorskie;golubsko-dobrzyñski;Zbójno;87-645;Zbójno;Poczta
mazowieckie;M. Warszawa;Warszawa;04-802;Zbójnogórska ;ul.
mazowieckie;M. Warszawa;Warszawa;04-806;Zbójnogórska ;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-569;Zbrachliñska;ul.
mazowieckie;M. Warszawa;Warszawa;04-316;Zbrojarska;ul.
ma³opolskie;M. Kraków;Kraków;30-412;Zbrojarzy;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-234;Zbrojna;ul.
pomorskie;M. Gdynia;Gdynia;81-105;Zbrojna;ul.
³ódzkie;M. £ódŸ;£ódŸ;94-235;Zbrojna;ul.
ma³opolskie;M. Kraków;Kraków;30-042;Zbrojów;ul.
œl¹skie;tarnogórski;Zbros³awice;42-674;Zbros³awice;Poczta
mazowieckie;siedlecki;Zbuczyn;08-106;Zbuczyn;Poczta
podkarpackie;stalowowolski;Zbydniów;37-416;Zbydniów;Poczta
wielkopolskie;M. Poznañ;Poznañ;61-062;Zby³owita;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-119;Zbyszewskiego Wiktora;ul.
wielkopolskie;M. Poznañ;Poznañ;61-062;Zbyszka;ul.
mazowieckie;M. Warszawa;Warszawa;03-259;Zbyszka z Bogdañca;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-695;Zbyszka z Bogdañca;ul.
pomorskie;M. Gdañsk;Gdañsk;80-419;Zbyszka z Bogdañca;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-435;Zbyszka z Bogdañca;ul.
mazowieckie;M. Warszawa;Warszawa;03-145;Zbytki;ul.
pomorskie;M. Gdañsk;Gdañsk;80-826;Zbytki;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-136;Zdobywców Wa³u Pomorskiego;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-863;Zdobywców Wa³u Pomorskiego;ul.
mazowieckie;M. Warszawa;Warszawa;02-927;Zdrojowa;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-364;Zdrojowa;ul.
lubelskie;M. Lublin;Lublin;20-809;Zdrojowa;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-336;Zdrojowa;ul.
œl¹skie;M. Katowice;Katowice;40-637;Zdrojowa;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Zdrojowa;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-330;Zdrojowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-213;Zdrojowa;ul.
wielkopolskie;M. Poznañ;Poznañ;61-023;Zdrojowa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-142;Zdrojowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-481;Zdrojowa;ul.
pomorskie;M. Gdañsk;Gdañsk;80-515;Zdrojowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-478;Zdrojowa;ul.
pomorskie;M. Sopot;Sopot;81-720;Zdrojowy;Plac
podlaskie;M. Bia³ystok;Bia³ystok;15-506;Zdrowa;ul.
lubelskie;M. Lublin;Lublin;20-383;Zdrowa;ul.
ma³opolskie;M. Kraków;Kraków;31-216;Zdrowa;ul.
œl¹skie;M. Katowice;Katowice;40-649;Zdrowa;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;Zdrowa;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Zdrowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-511;Zdrowa;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-855;Zdrowa;ul.
³ódzkie;M. £ódŸ;£ódŸ;94-302;Zdrowie;ul.
mazowieckie;M. Warszawa;Warszawa;04-437;Zdrowotna;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-826;Zdrowotna;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-890;Zdunowo;ul.
wielkopolskie;M. Poznañ;Poznañ;61-058;Zdunowska;ul.
ma³opolskie;M. Kraków;Kraków;30-428;Zdunów;ul.
wielkopolskie;krotoszyñski;Zduny;63-760;Zduny;Poczta
³ódzkie;³owicki;Zduny;99-440;Zduny;Poczta
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-055;Zduny;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Zduñska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-180;Zduñska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-321;Zduñska;ul.
³ódzkie;zduñskowolski;Zduñska Wola;98-220;Zduñska Wola;Poczta
³ódzkie;zduñskowolski;Zduñska Wola;98-230;Zduñska Wola;Poczta
³ódzkie;zduñskowolski;Zduñska Wola;98-231;Zduñska Wola;Poczta
mazowieckie;M. Warszawa;Warszawa;03-044;Zdziarska ;ul.
mazowieckie;M. Warszawa;Warszawa;03-289;Zdziarska ;ul.
podkarpackie;mielecki;Zdziarzec;39-311;Zdziarzec;Poczta
opolskie;krapkowicki;Zdzieszowice;47-330;Zdzieszowice;Poczta
opolskie;krapkowicki;Zdzieszowice;47-330;Zdzieszowice;Poczta
wielkopolskie;M. Poznañ;Poznañ;61-054;Zdzis³awy;ul.
dolnoœl¹skie;boles³awiecki;Zebrzydowa;59-731;Zebrzydowa;Poczta
œl¹skie;cieszyñski;Zebrzydowice;43-410;Zebrzydowice;Poczta
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-059;Zebrzydowska;ul.
mazowieckie;M. Warszawa;Warszawa;04-446;Zecerska;ul.
ma³opolskie;M. Kraków;Kraków;31-279;Zefirowa;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-027;Zefirowa;ul.
mazowieckie;M. Warszawa;Warszawa;01-214;Zegad³owicza Emila;ul.
lubelskie;M. Lublin;Lublin;20-434;Zegad³owicza Emila;ul.
ma³opolskie;M. Kraków;Kraków;31-104;Zegad³owicza Emila;ul.
œl¹skie;M. Katowice;Katowice;40-582;Zegad³owicza Emila;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Zegad³owicza Emila;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-370;Zegad³owicza Emila;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;50-228;Zegad³owicza Emila ;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;50-226;Zegad³owicza Emila ;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-180;Zegarmistrzowska;ul.
mazowieckie;M. Warszawa;Warszawa;02-983;Zegarowa;ul.
ma³opolskie;myœlenicki;Zegartowice;32-413;Zegartowice;Poczta
mazowieckie;M. Warszawa;Warszawa;03-020;Zegarynki;ul.
mazowieckie;legionowski;Zegrze;05-131;Zegrze;Poczta
mazowieckie;legionowski;Zegrze Po³udniowe;05-130;Zegrze Po³udniowe;Poczta
mazowieckie;M. Warszawa;Warszawa;04-876;Zegrzyñska;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-829;Zelejowska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-140;Zelenaya Tadeusza;ul.
³ódzkie;be³chatowski;Zelów;97-425;Zelów;Poczta
mazowieckie;M. Warszawa;Warszawa;02-928;Zelwerowicza Aleksandra;ul.
lubelskie;M. Lublin;Lublin;20-875;Zelwerowicza Aleksandra;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-601;Zelwerowicza Aleksandra;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-676;Zelwerowicza Aleksandra;ul.
pomorskie;M. Gdañsk;Gdañsk;80-516;Zelwerowicza Aleksandra;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-183;Zelwerowicza Aleksandra;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-147;Zelwerowicza Aleksandra ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-148;Zelwerowicza Aleksandra ;ul.
lubelskie;M. Lublin;Lublin;20-515;Zemborzyce Dolne (wieœ);ul.
lubelskie;M. Lublin;Lublin;20-515;Zemborzyce Podleœne (wieœ);ul.
lubelskie;M. Lublin;Lublin;20-515;Zemborzyce Tereszyñskie (wieœ);ul.
lubelskie;M. Lublin;Lublin;20-515;Zemborzyce Wojciechowskie (wieœ);ul.
wielkopolskie;M. Poznañ;Poznañ;61-334;Zemborzycka;ul.
lubelskie;M. Lublin;Lublin;20-450;Zemborzycka ;ul.
lubelskie;M. Lublin;Lublin;20-445;Zemborzycka ;ul.
lubelskie;³ukowski;Zembry;21-405;Zembry;Poczta
ma³opolskie;suski;Zembrzyce;34-210;Zembrzyce;Poczta
ma³opolskie;M. Kraków;Kraków;30-498;Zembrzycka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-438;Zemska;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-301;Zenitowa;ul.
mazowieckie;M. Warszawa;Warszawa;04-787;Zerzeñska;ul.
mazowieckie;M. Warszawa;Warszawa;04-448;Zes³añców Polskich ;ul.
mazowieckie;M. Warszawa;Warszawa;04-439;Zes³añców Polskich ;ul.
ma³opolskie;M. Kraków;Kraków;31-761;Zes³awicka;ul.
mazowieckie;M. Warszawa;Warszawa;04-958;Zespo³owa;ul.
mazowieckie;M. Warszawa;Warszawa;01-497;Zeusa;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-119;Zeusa;ul.
pomorskie;M. Gdynia;Gdynia;81-601;Zeusa;ul.
wielkopolskie;M. Poznañ;Poznañ;60-808;Zeylanda Janusza;ul.
opolskie;oleski;Zêbowice;46-048;Zêbowice;Poczta
mazowieckie;M. Warszawa;Warszawa;04-092;Zgierska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-711;Zgierska;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-002;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-059;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-446;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-463;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-465;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-468;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-303;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-473;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-478;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-488;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-320;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-346;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-490;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-355;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-497;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-496;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-362;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-495;Zgierska ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-364;Zgierska ;ul.
³ódzkie;zgierski;Zgierz;95-100;Zgierz;Poczta
³ódzkie;zgierski;Zgierz;95-110;Zgierz;Poczta
³ódzkie;zgierski;Zgierz;95-101;Zgierz;Poczta
³ódzkie;zgierski;Zgierz;95-102;Zgierz;Poczta
³ódzkie;zgierski;Zgierz;95-103;Zgierz;Poczta
ma³opolskie;tarnowski;Zg³obice;33-113;Zg³obice;Poczta
podkarpackie;rzeszowski;Zg³obieñ;36-046;Zg³obieñ;Poczta
œwiêtokrzyskie;M. Kielce;Kielce;25-378;Zgoda;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;Zgoda;ul.
pomorskie;M. Gdynia;Gdynia;81-361;Zgoda;ul.
mazowieckie;M. Warszawa;Warszawa;00-018;Zgoda ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-552;Zgoda ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-554;Zgoda ;ul.
mazowieckie;M. Warszawa;Warszawa;00-012;Zgoda ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-553;Zgoda ;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-555;Zgoda ;ul.
lubelskie;M. Lublin;Lublin;20-304;Zgodna;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-231;Zgodna;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;50-432;Zgodna;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-569;Zgodna;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-371;Zgodna;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;50-432;Zgody;Plac
zachodniopomorskie;M. Szczecin;Szczecin;70-472;Zgody;Plac
ma³opolskie;M. Kraków;Kraków;31-217;Zgody;ul.
œl¹skie;M. Katowice;Katowice;40-573;Zgody;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Zgody;ul.
ma³opolskie;M. Kraków;Kraków;31-949;Zgody ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-950;Zgody ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-951;Zgody ;Osiedle
pomorskie;M. Gdañsk;Gdañsk;80-380;Zgody I;ul.
pomorskie;M. Gdañsk;Gdañsk;80-380;Zgody II;ul.
dolnoœl¹skie;zgorzelecki;Zgorzelec;59-900;Zgorzelec;Poczta
dolnoœl¹skie;zgorzelecki;Zgorzelec;59-901;Zgorzelec;Poczta
dolnoœl¹skie;zgorzelecki;Zgorzelec;59-902;Zgorzelec;Poczta
dolnoœl¹skie;zgorzelecki;Zgorzelec;59-903;Zgorzelec;Poczta
dolnoœl¹skie;zgorzelecki;Zgorzelec;59-900;Zgorzelec;Poczta
dolnoœl¹skie;zgorzelecki;Zgorzelec;59-902;Zgorzelec;Poczta
mazowieckie;M. Warszawa;Warszawa;04-627;Zgorzelecka;ul.
œl¹skie;M. Katowice;Katowice;40-659;Zgorzelecka;ul.
opolskie;M. Opole;Opole;45-316;Zgorzelecka;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-616;Zgorzelecka;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-715;Zgorzelecka;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-827;Zgórska;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Zgrabna;ul.
mazowieckie;M. Warszawa;Warszawa;01-943;Zgrupowania AK Kampinos;ul.
mazowieckie;M. Warszawa;Warszawa;01-875;Zgrupowanie ¯mija;ul.
mazowieckie;M. Warszawa;Warszawa;01-876;Zgrupowanie ¯ubr;ul.
mazowieckie;M. Warszawa;Warszawa;01-877;Zgrupowanie ¯yrafa;ul.
mazowieckie;M. Warszawa;Warszawa;03-869;Zgrzebna;ul.
œl¹skie;M. Katowice;Katowice;40-520;Zgrzebnioka Alfonsa;ul.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-106;Zgrzebnioka Alfonsa;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-440;ZHP;Al.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-106;ZHP;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-111;Ziai Stanis³awa;ul.
mazowieckie;M. Warszawa;Warszawa;04-977;Ziarnista;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-722;Ziarnista;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-634;Ziarnista;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-524;Zielarska;ul.
mazowieckie;M. Warszawa;Warszawa;03-727;Zieleniecka;Al.
wielkopolskie;M. Poznañ;Poznañ;61-059;Zieleñska;ul.
pomorskie;bytowski;Zielin;77-233;Zielin;Poczta
opolskie;krapkowicki;Zielina;47-370;Zielina;Poczta
wielkopolskie;M. Poznañ;Poznañ;61-058;Zieliniec;ul.
ma³opolskie;M. Kraków;Kraków;31-227;Zieliñska;ul.
œl¹skie;M. Zabrze;Zabrze;41-800;Zieliñskiego doktora;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-531;Zieliñskiego Tadeusza ;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-532;Zieliñskiego Tadeusza ;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-533;Zieliñskiego Tadeusza ;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-534;Zieliñskiego Tadeusza ;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-523;Zieliñskiego Tadeusza ;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-341;Zieliñskiego Tomasza;ul.
mazowieckie;M. Warszawa;Warszawa;00-108;Zielna;ul.
œwiêtokrzyskie;M. Kielce;Kielce;25-258;Zielna;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-326;Zielna;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-303;Zielna;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-313;Zielna;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-733;Zielna;ul.
pomorskie;M. Gdañsk;Gdañsk;80-727;Zielna;ul.
pomorskie;M. Gdynia;Gdynia;81-616;Zielna;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-817;Zielna ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-336;Zielna ;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-836;Zielna ;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-339;Zielna ;ul.
mazowieckie;¿uromiñski;Zielona;09-311;Zielona;Poczta
mazowieckie;M. Warszawa;Warszawa;02-913;Zielona;ul.
warmiñsko-mazurskie;M. Olsztyn;Olsztyn;10-141;Zielona;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-585;Zielona;ul.
lubelskie;M. Lublin;Lublin;20-082;Zielona;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-326;Zielona;ul.
œl¹skie;M. Siemianowice Œl¹skie;Siemianowice Œl¹skie;41-100;Zielona;ul.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;Zielona;ul.
œl¹skie;M. Œwiêtoch³owice;Œwiêtoch³owice;41-600;Zielona;ul.
œl¹skie;bêdziñski;Bêdzin;42-500;Zielona;ul.
œl¹skie;M. Bielsko-Bia³a;Bielsko-Bia³a;43-300;Zielona;ul.
œl¹skie;M. Jastrzêbie-Zdrój;Jastrzêbie-Zdrój;44-335;Zielona;ul.
opolskie;M. Opole;Opole;45-554;Zielona;ul.
opolskie;brzeski;Brzeg;49-300;Zielona;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;54-044;Zielona;ul.
wielkopolskie;M. Poznañ;Poznañ;61-851;Zielona;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-013;Zielona;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-664;Zielona;ul.
pomorskie;M. Gdañsk;Gdañsk;80-746;Zielona;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-414;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-601;Zielona ;ul.
pomorskie;M. Gdynia;Gdynia;81-113;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-602;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-624;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-743;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-604;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-635;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-750;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-760;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-759;Zielona ;ul.
pomorskie;M. Gdynia;Gdynia;81-112;Zielona ;ul.
³ódzkie;M. £ódŸ;£ódŸ;90-765;Zielona ;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-001;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-900;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-431;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-424;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-182;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-514;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-061;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-613;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-636;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-385;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-548;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-120;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-152;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-901;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-903;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-904;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-905;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-906;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-908;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-909;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-912;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-913;Zielona Góra;Poczta
lubuskie;M. Zielona Góra;Zielona Góra;65-421;Zielona Góra;ul.
ma³opolskie;M. Kraków;Kraków;31-968;Zielone ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-970;Zielone ;Osiedle
ma³opolskie;M. Kraków;Kraków;31-971;Zielone ;Osiedle
podlaskie;M. Bia³ystok;Bia³ystok;15-597;Zielone Jab³uszko;ul.
wielkopolskie;M. Poznañ;Poznañ;61-851;Zielone Ogródki;ul.
podlaskie;M. Bia³ystok;Bia³ystok;15-831;Zielone Wzgórze;ul.
ma³opolskie;M. Kraków;Kraków;31-234;Zielone Wzgórze;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;51-621;Zielonego Dêbu;ul.
mazowieckie;wo³omiñski;Zielonka;05-220;Zielonka;Poczta
mazowieckie;wo³omiñski;Zielonka;05-220;Zielonka;Poczta
ma³opolskie;krakowski;Zielonki;32-087;Zielonki;Poczta
podlaskie;M. Bia³ystok;Bia³ystok;15-674;Zielonogórska;ul.
ma³opolskie;M. Kraków;Kraków;30-406;Zielonogórska;ul.
opolskie;M. Opole;Opole;45-323;Zielonogórska;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-617;Zielonogórska;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-256;Zielonogórska;ul.
zachodniopomorskie;M. Szczecin;Szczecin;71-084;Zielonogórska;ul.
pomorskie;M. Gdañsk;Gdañsk;80-812;Zielonogórska;ul.
kujawsko-pomorskie;M. Bydgoszcz;Bydgoszcz;85-148;Zielonogórska;ul.
ma³opolskie;M. Kraków;Kraków;30-228;Zielony Dó³;ul.
ma³opolskie;M. Kraków;Kraków;31-701;Zielony Jar;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-253;Zielony Las ;ul.
lubuskie;M. Zielona Góra;Zielona Góra;65-255;Zielony Las ;ul.
ma³opolskie;M. Kraków;Kraków;31-351;Zielony Most;ul.
mazowieckie;M. Warszawa;Warszawa;03-004;Zielony Zagajnik;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-157;Ziem Zachodnich;Al.
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;Ziemby Jana;ul.
opolskie;M. Opole;Opole;45-303;Ziemi Lubuskiej;ul.
opolskie;brzeski;Brzeg;49-300;Ziemi Tarnowskiej;ul.
mazowieckie;M. Warszawa;Warszawa;03-695;Ziemiañska;ul.
lubelskie;M. Lublin;Lublin;20-152;Ziemiañska;ul.
³ódzkie;M. £ódŸ;£ódŸ;93-638;Ziemiañska;ul.
podkarpackie;M. Rzeszów;Rzeszów;35-322;Ziemiañskiego Jana;ul.
œl¹skie;tarnogórski;Ziemiêcice;42-675;Ziemiêcice;Poczta
œl¹skie;M. D¹browa Górnicza;D¹browa Górnicza;41-300;Ziemna;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;52-127;Ziemniaczana;ul.
zachodniopomorskie;M. Szczecin;Szczecin;70-787;Ziemniaczana;ul.
³ódzkie;M. £ódŸ;£ódŸ;91-210;Ziemniaczana;ul.
lubelskie;M. Lublin;Lublin;20-830;Ziemowita;ul.
dolnoœl¹skie;M. Wroc³aw;Wroc³aw;53-678;Ziemowita;ul.
wielkopolskie;M. Poznañ;Poznañ;61-063;Ziemowita;ul.
zachodniopomorskie;M. Koszalin;Koszalin;75-671;Ziemowita;ul.
pomorskie;M. Gdañsk;Gdañsk;80-354;Ziemowita;ul.
³ódzkie;M. £ódŸ;£ódŸ;92-413;Ziemowita;ul.
